Genotype,density,Parameter,Estimate,Lower 95%,Upper 95%,Number failed,Mean total fecundity,std err total fecundity,std dev total fecundity
12,1,?,0.7877278,0.7341968,0.8441258,231,843.76,100.0712857,447.5323951
12,1,?,1.9529789,1.7507249,2.1670543,231,,,
12,5,?,0.8012508,0.7222442,0.8863631,86,60.085,8.131929515,36.36709437
12,5,?,2.2455972,1.8465878,2.6918982,86,,,
12,10,?,0.7037987,0.6170541,0.7991061,88,18.96666667,4.425530662,19.79157479
12,10,?,1.7495742,1.455262,2.076896,88,,,
30,1,?,0.7949245,0.7530606,0.8383478,341,799.98,95.90239106,428.8885312
30,1,?,2.0812394,1.9029787,2.2686627,341,,,
30,5,?,0.7345507,0.6689291,0.8047712,151,32.69,5.267606567,23.55745273
30,5,?,1.8667306,1.6234134,2.1290084,151,,,
30,10,?,0.5747062,0.4876698,0.6731849,103,18.2,4.104298132,18.35497925
30,10,?,1.4769855,1.2154149,1.7704376,103,,,
44,1,?,0.7877278,0.7341968,0.8441258,231,980.1,65.25270634,291.8189742
44,1,?,1.9529789,1.7507249,2.1670543,231,,,
44,5,?,0.8012508,0.7222442,0.8863631,86,45.82333333,7.916478151,35.40356658
44,5,?,2.2455972,1.8465878,2.6918982,86,,,
44,10,?,0.7037987,0.6170541,0.7991061,88,24.9,3.453373637,15.44395641
44,10,?,1.7495742,1.455262,2.076896,88,,,
48,1,?,0.6529445,0.5830764,0.7289414,142,1002.42,91.65084535,409.8750408
48,1,?,1.5847963,1.3789566,1.8067997,142,,,
48,5,?,0.7029352,0.6188379,0.7948728,83,74.57,7.958633511,35.59209108
48,5,?,1.8785906,1.5569466,2.2357309,83,,,
48,10,?,0.6887219,0.5841921,0.806656,56,31.28333333,4.2998895,19.22969043
48,10,?,1.7547733,1.3940343,2.1644293,56,,,
